gameID,genre
2028,Strategy
2028,Turn-based strategy (TBS)
8292,Point-and-click
8292,Adventure
3181,Simulator
132071,Visual Novel
42746,Simulator
42746,Adventure
42746,Visual Novel
7067,Visual Novel
61688,Adventure
61688,Visual Novel
208470,Puzzle
100072,Quiz/Trivia
9889,Arcade
21487,Strategy
47706,Strategy
1593,Role-playing (RPG)
1593,Strategy
1593,Adventure
1593,Indie
680,Shooter
680,Strategy
55009,NA
208685,NA
44523,Role-playing (RPG)
44523,Strategy
37288,Puzzle
37288,Strategy
2008,Real Time Strategy (RTS)
2008,Strategy
22290,NA
47704,Puzzle
47704,Adventure
43339,Platform
3983,Racing
3983,Simulator
1097,Platform
1097,Adventure
22953,Racing
22953,Simulator
72713,Puzzle
221472,Visual Novel
20763,Racing
20763,Simulator
23080,Simulator
46066,Sport
68264,Adventure
202470,Indie
18600,Adventure
9824,Role-playing (RPG)
9824,Strategy
9824,Turn-based strategy (TBS)
7193,Real Time Strategy (RTS)
7193,Simulator
7193,Strategy
7193,Adventure
739,Role-playing (RPG)
739,Strategy
739,Adventure
4569,Sport
198828,Fighting
48043,Puzzle
48043,Strategy
5092,Sport
202592,Adventure
202592,Visual Novel
65716,NA
200912,Racing
6236,Shooter
6236,Arcade
209000,NA
21243,NA
5433,Fighting
5433,Hack and slash/Beat 'em up
5433,Arcade
91712,NA
670,Real Time Strategy (RTS)
670,Strategy
209170,NA
220096,Fighting
47335,Racing
5732,Shooter
1618,Fighting
202112,Arcade
51764,Strategy
51764,Turn-based strategy (TBS)
30147,Simulator
30147,Strategy
214798,Adventure
214798,Visual Novel
945,Simulator
945,Sport
945,Strategy
144278,Strategy
144278,Adventure
144278,Indie
144278,Card & Board Game
452,Platform
452,Adventure
13147,Role-playing (RPG)
13147,Simulator
13147,Adventure
3116,Point-and-click
3116,Puzzle
3116,Adventure
13198,Fighting
4133,Fighting
3081,Puzzle
3081,Real Time Strategy (RTS)
3081,Simulator
3081,Strategy
98665,Visual Novel
119,Fighting
190,Platform
190,Adventure
27946,Real Time Strategy (RTS)
27946,Role-playing (RPG)
27946,Simulator
27946,Strategy
6294,Strategy
8768,Role-playing (RPG)
8768,Adventure
21850,Arcade
23281,Fighting
23281,Shooter
7706,Simulator
7706,Strategy
7706,Adventure
7706,Indie
67992,NA
221288,Simulator
221288,Adventure
221288,Visual Novel
5082,Role-playing (RPG)
5082,Turn-based strategy (TBS)
5082,Adventure
5082,Indie
16719,Racing
47891,Racing
11489,Role-playing (RPG)
11489,Hack and slash/Beat 'em up
3839,Platform
3839,Puzzle
3839,Adventure
3839,Indie
21553,Hack and slash/Beat 'em up
16090,Puzzle
16090,Strategy
16090,Adventure
3077,Shooter
3077,Simulator
3077,Strategy
3077,Tactical
236,Point-and-click
236,Puzzle
236,Strategy
236,Adventure
236,Indie
5583,Shooter
47426,Fighting
61171,Visual Novel
204392,Visual Novel
141568,Puzzle
141568,Adventure
141568,Indie
6176,Puzzle
6176,Adventure
21610,Puzzle
21610,Simulator
21610,Adventure
21610,Visual Novel
78105,Puzzle
152398,Shooter
152398,Arcade
13128,Role-playing (RPG)
13128,Simulator
13128,Strategy
13128,Adventure
198289,Shooter
198289,Platform
198285,Shooter
198285,Platform
61159,Platform
4882,NA
123452,NA
43397,Sport
92207,NA
78349,Music
54275,NA
14813,Puzzle
14813,Pinball
50940,Sport
9932,Real Time Strategy (RTS)
9932,Simulator
9932,Strategy
5908,Platform
5908,Adventure
58445,Simulator
54229,NA
7162,Adventure
7162,Visual Novel
68121,Adventure
163235,Visual Novel
79853,Shooter
6010,Racing
79306,Visual Novel
67103,NA
61856,NA
198282,Shooter
198282,Platform
198283,Shooter
198283,Platform
198284,Shooter
198284,Platform
68362,Shooter
198287,Shooter
198287,Platform
198288,Shooter
198288,Platform
62459,Adventure
62459,Visual Novel
4149,Shooter
56773,NA
47778,Puzzle
61631,NA
222119,Visual Novel
125528,NA
67100,Music
25018,Puzzle
72867,NA
35974,Puzzle
35974,Strategy
35974,Indie
22598,Platform
50986,Shooter
49287,Puzzle
40426,Fighting
40426,Sport
143398,NA
125955,NA
62539,NA
128369,NA
101613,NA
47856,Shooter
47856,Arcade
56516,NA
112296,Visual Novel
9068,Fighting
9068,Platform
9068,Role-playing (RPG)
9068,Adventure
59958,Simulator
59958,Strategy
59958,Adventure
59958,Visual Novel
58277,Sport
3880,Sport
51011,NA
21906,NA
49333,Adventure
9439,Simulator
9439,Strategy
65510,NA
49323,Platform
191662,Sport
218942,NA
49224,Shooter
49224,Platform
43276,Role-playing (RPG)
43276,Strategy
44744,Puzzle
3855,Fighting
3855,Strategy
3855,Hack and slash/Beat 'em up
3855,Adventure
59618,Simulator
59618,Sport
59110,Shooter
59110,Platform
49363,Platform
61857,Racing
61857,Simulator
80821,Adventure
198249,NA
20814,NA
8512,Racing
8538,Hack and slash/Beat 'em up
271,Shooter
59360,Adventure
59360,Visual Novel
9331,Strategy
208608,Adventure
208608,Indie
44976,Hack and slash/Beat 'em up
51027,Sport
20435,Puzzle
64667,Visual Novel
78938,Hack and slash/Beat 'em up
10055,Sport
10055,Strategy
49318,Platform
140987,Platform
140987,Hack and slash/Beat 'em up
140987,Adventure
78590,Sport
47802,Platform
47802,Puzzle
23716,Music
6642,Puzzle
4088,Racing
20578,Point-and-click
20578,Puzzle
87594,Strategy
11519,Adventure
11519,Visual Novel
7627,Simulator
7627,Strategy
112909,Arcade
11286,Adventure
140125,NA
6013,Shooter
6013,Platform
6013,Arcade
60332,Sport
60332,Visual Novel
21283,Role-playing (RPG)
21283,Strategy
4831,Racing
200590,NA
47917,Shooter
21504,Racing
21504,Sport
44979,Shooter
50948,Racing
62136,NA
5198,Puzzle
6413,Simulator
6413,Strategy
9507,Puzzle
21581,Real Time Strategy (RTS)
21581,Strategy
67766,NA
49367,NA
13216,Role-playing (RPG)
13216,Adventure
13216,Indie
79533,NA
50395,Puzzle
50395,Adventure
206773,NA
85843,Puzzle
85843,Arcade
22401,Shooter
27485,Simulator
27485,Strategy
43935,Sport
19657,Puzzle
19657,Adventure
198286,Shooter
198286,Platform
137079,NA
9957,Simulator
6344,Racing
6344,Role-playing (RPG)
67853,NA
9443,Strategy
