kglID,gameID,Title,Year,Publisher,Main_Genre
226,1025,Zelda II: The Adventure of Link,1987,Nintendo,Adventure
227,210161,Need for Speed: Most Wanted,2005,Electronic Arts,Racing
228,1278,Resistance: Fall of Man,2006,Sony Computer Entertainment,Shooter
229,3192,Sonic the Hedgehog,1991,Sega,Platform
230,1221,Kingdom Hearts II,2005,Square Enix,Role-Playing
231,172788,Asteroids,1980,Atari,Shooter
232,522,Fable II,2008,Microsoft Game Studios,Role-Playing
233,6803,Halo 5: Guardians,2015,Microsoft Game Studios,Shooter
234,2180,Super Mario 3D World,2013,Nintendo,Platform
235,500,Batman: Arkham Asylum,2009,Eidos Interactive,Action
236,NA,Assassin's Creed: Revelations,2011,Ubisoft,Action
237,130831,Namco Museum,2001,Namco Bandai Games,Misc
238,379,Metal Gear Solid 3: Snake Eater,2004,Konami Digital Entertainment,Action
239,1533,Daxter,2006,Sony Computer Entertainment,Platform
240,130,Warcraft II: Tides of Darkness,1995,Activision,Strategy
241,1029,The Legend of Zelda: Ocarina of Time,2011,Nintendo,Action
242,700,FIFA Soccer 06,2005,Electronic Arts,Sports
243,NA,EyeToy Play,2003,Sony Computer Entertainment,Misc
244,7331,Uncharted 4: A Thief's End,2016,Sony Computer Entertainment,Shooter
245,1599,Gran Turismo 5 Prologue,2007,Sony Computer Entertainment,Racing
246,884,Street Fighter IV,2009,Capcom,Fighting
247,146006,Teenage Mutant Ninja Turtles,1989,Palcom,Action
248,4600,Excitebike,1984,Nintendo,Racing
249,218320,Frogger,1997,Hasbro Interactive,Action
250,776,Madden NFL 2003,2002,Electronic Arts,Sports
251,NA,Watch Dogs,2014,Ubisoft,Action
252,231,Half-Life,1997,Vivendi Games,Shooter
253,1073,Super Mario World 2: Yoshi's Island,1995,Nintendo,Platform
254,NA,FIFA Soccer 07,2006,Electronic Arts,Sports
255,534,The Legend of Zelda: Skyward Sword,2011,Nintendo,Action
256,18626,Street Fighter II Turbo,1992,Capcom,Fighting
257,108759,Carnival Games,2007,Take-Two Interactive,Misc
258,227,World of Warcraft: The Burning Crusade,2007,Activision,Role-Playing
259,16,Fallout: New Vegas,2010,Bethesda Softworks,Role-Playing
260,551,God of War II,2007,Sony Computer Entertainment,Action
261,3072,Forza Motorsport 2,2007,Microsoft Game Studios,Racing
262,NA,World Soccer Winning Eleven 9,2005,Konami Digital Entertainment,Sports
263,NA,Namco Museum Vol.3,1996,Sony Computer Entertainment,Misc
264,1249,Tekken Tag Tournament,2000,Namco Bandai Games,Fighting
265,6801,Far Cry 4,2014,Ubisoft,Shooter
266,2591,Star Fox 64,1997,Nintendo,Shooter
267,121,Minecraft,2014,Sony Computer Entertainment Europe,Misc
268,131528,Golf,1984,Nintendo,Sports
269,1398,Professor Layton and the Diabolical Box,2007,Nintendo,Puzzle
270,124,Left 4 Dead 2,2009,Electronic Arts,Shooter
271,NA,Namco Museum: 50th Anniversary,2005,Namco Bandai Games,Misc
272,4826,EA Sports Active,2009,Electronic Arts,Sports
273,NA,Assassin's Creed: Unity,2014,Ubisoft,Action
274,1091,Donkey Kong Land,1994,Nintendo,Platform
275,210430,Tony Hawk's Underground,2003,Activision,Sports
276,NA,Assassin's Creed IV: Black Flag,2013,Ubisoft,Action
