gameID,ratingOrg,rating,ageAbove
12329,CERO,CERO_C,15
12346,ESRB,E,6
12346,CERO,CERO_A,3
12346,PEGI,Seven,7
12346,GRAC,GRAC_Twelve,12
12382,ESRB,T,13
12382,PEGI,Twelve,12
12427,ESRB,T,13
12481,PEGI,Seven,7
12481,ESRB,E10,10
12495,ESRB,T,13
12529,ESRB,T,13
12529,PEGI,Twelve,12
12588,ESRB,E10,10
12595,ESRB,M,17
12595,PEGI,Eighteen,18
12595,CERO,CERO_D,17
12595,USK,GRAC_ALL,0
12595,CLASS_IND,ACB_G,3
12595,ACB,ACB_R18,18
12633,ESRB,T,13
12633,PEGI,Twelve,12
12644,CERO,CERO_C,15
12770,ESRB,T,13
12844,ESRB,M,17
12884,ESRB,T,13
12884,PEGI,Twelve,12
12884,CERO,CERO_B,12
12895,ESRB,E,6
12899,ESRB,T,13
12900,ESRB,E,6
12916,ESRB,E,6
12937,ESRB,E,6
12937,PEGI,Three,3
12970,ESRB,E,6
13094,ESRB,T,13
13098,ESRB,T,13
13098,PEGI,Twelve,12
13098,GRAC,GRAC_Eighteen,18
13107,GRAC,GRAC_Fifteen,15
13107,ESRB,T,13
13110,ESRB,T,13
13111,ESRB,T,13
13114,ESRB,T,13
13114,PEGI,Twelve,12
13117,ESRB,T,13
13117,PEGI,Twelve,12
13117,GRAC,GRAC_Eighteen,18
13118,ESRB,T,13
13118,PEGI,Twelve,12
13119,ESRB,T,13
13119,PEGI,Twelve,12
13120,ESRB,T,13
13120,PEGI,Twelve,12
13126,PEGI,Twelve,12
13126,ESRB,T,13
13128,ESRB,T,13
13128,PEGI,Twelve,12
13129,ESRB,T,13
13129,PEGI,Twelve,12
13130,ESRB,T,13
13130,PEGI,Twelve,12
13137,PEGI,Twelve,12
13137,ESRB,T,13
13144,ESRB,T,13
13144,PEGI,Twelve,12
13144,GRAC,GRAC_Eighteen,18
13144,CERO,CERO_C,15
13146,ESRB,T,13
13146,PEGI,Twelve,12
13146,CERO,CERO_C,15
13146,GRAC,GRAC_Eighteen,18
13147,ESRB,T,13
13147,PEGI,Twelve,12
13147,GRAC,GRAC_Eighteen,18
13147,CERO,CERO_C,15
13178,PEGI,Twelve,12
13178,ESRB,M,17
13182,ESRB,M,17
13182,PEGI,Eighteen,18
13182,CERO,CERO_Z,18
13552,ESRB,T,13
13552,CERO,CERO_C,15
13557,ESRB,T,13
13557,PEGI,Twelve,12
13558,ESRB,T,13
13558,PEGI,Twelve,12
13559,CERO,CERO_B,12
13561,PEGI,Seven,7
13561,ESRB,E10,10
13659,ESRB,E,6
13669,PEGI,Sixteen,16
13669,ESRB,T,13
13669,CERO,CERO_B,12
13676,ESRB,E,6
13776,ESRB,E,6
13777,PEGI,Sixteen,16
13777,ESRB,M,17
13893,ESRB,T,13
13894,ESRB,T,13
13899,PEGI,Three,3
13899,ESRB,T,13
13901,ESRB,T,13
13902,ESRB,T,13
13905,ESRB,T,13
13907,ESRB,E,6
13908,ESRB,E10,10
13909,ESRB,T,13
14144,ESRB,T,13
14144,PEGI,Twelve,12
14144,CERO,CERO_C,15
14144,GRAC,GRAC_Eighteen,18
14297,ESRB,E,6
14297,PEGI,Three,3
14359,PEGI,Sixteen,16
14359,ESRB,M,17
14368,ESRB,T,13
14406,PEGI,Eighteen,18
14406,ESRB,M,17
14407,ESRB,M,17
14409,PEGI,Sixteen,16
14409,CERO,CERO_C,15
14410,ESRB,T,13
14427,ESRB,E,6
14509,ESRB,E,6
14522,PEGI,Sixteen,16
14522,ESRB,M,17
14530,ESRB,E,6
14548,ESRB,M,17
14548,PEGI,Eighteen,18
14551,ESRB,T,13
14551,PEGI,Twelve,12
14561,ESRB,T,13
14605,ESRB,M,17
14607,ESRB,E10,10
14691,ESRB,E,6
14716,ESRB,T,13
14716,PEGI,Twelve,12
14717,ESRB,E10,10
14718,ESRB,E10,10
14723,ESRB,T,13
14750,ESRB,E,6
14751,ESRB,E,6
14753,ESRB,T,13
14753,PEGI,Twelve,12
14754,ESRB,T,13
14754,PEGI,Twelve,12
14755,ESRB,T,13
14755,PEGI,Twelve,12
14757,ESRB,T,13
14801,ESRB,E,6
14801,PEGI,Three,3
14806,ESRB,E,6
14813,ESRB,E,6
14813,GRAC,GRAC_Twelve,12
14857,ESRB,T,13
14878,ESRB,T,13
14878,PEGI,Twelve,12
14879,ESRB,M,17
14879,CERO,CERO_D,17
14879,USK,USK_18,18
14879,CLASS_IND,CLASS_IND_Sixteen,16
14879,PEGI,Eighteen,18
14879,ACB,ACB_R18,18
14909,ESRB,E10,10
14909,PEGI,Three,3
14982,ESRB,E10,10
14982,PEGI,Three,3
14986,ESRB,T,13
14988,ESRB,E10,10
14989,ESRB,T,13
14990,ESRB,E10,10
14996,ESRB,E,6
15003,PEGI,Three,3
15003,ESRB,E,6
15004,ESRB,E,6
15004,PEGI,Three,3
15020,ESRB,E,6
15022,ESRB,E,6
15030,PEGI,Twelve,12
15046,ESRB,E,6
15058,PEGI,Twelve,12
15069,ESRB,T,13
15078,ESRB,E10,10
15155,PEGI,Sixteen,16
15155,ESRB,T,13
15180,ESRB,T,13
15187,ESRB,T,13
15299,ESRB,E,6
15299,PEGI,Twelve,12
15426,ESRB,T,13
15426,GRAC,GRAC_Fifteen,15
15427,ESRB,T,13
15428,ESRB,T,13
15431,ESRB,T,13
15434,ESRB,T,13
15434,PEGI,Twelve,12
15435,ESRB,T,13
15435,PEGI,Twelve,12
15455,ESRB,T,13
15455,PEGI,Sixteen,16
15455,CERO,CERO_B,12
15457,ESRB,T,13
15457,PEGI,Twelve,12
15457,CERO,CERO_B,12
15457,USK,USK_12,12
15457,ACB,ACB_M,12
15461,ESRB,T,13
15467,ESRB,M,17
15476,ESRB,E,6
15487,ESRB,E,6
15543,ESRB,E,6
15547,ESRB,T,13
15556,ESRB,E,6
15556,PEGI,Three,3
15556,CERO,CERO_A,3
15559,ESRB,E10,10
15559,PEGI,Three,3
15560,CERO,CERO_A,3
15705,PEGI,Twelve,12
15705,ESRB,T,13
15709,PEGI,Twelve,12
15709,ESRB,T,13
15712,ESRB,E,6
15712,GRAC,GRAC_Twelve,12
15739,ESRB,E,6
15739,USK,USK_0,0
15739,CLASS_IND,CLASS_IND_Ten,10
15739,ACB,ACB_PG,6
15793,ESRB,M,17
15795,ESRB,E,6
15817,ESRB,E,6
15835,CERO,CERO_B,12
15838,CERO,CERO_B,12
15839,ESRB,E,6
15840,ESRB,T,13
15843,CERO,CERO_B,12
15844,CERO,CERO_A,3
15847,ESRB,T,13
15864,ESRB,T,13
15894,PEGI,Seven,7
15894,ESRB,T,13
15915,ESRB,E,6
16026,PEGI,Three,3
16026,ESRB,E,6
16090,ESRB,E,6
16090,GRAC,GRAC_Twelve,12
16093,ESRB,E,6
16093,GRAC,GRAC_Twelve,12
16128,ESRB,E10,10
16128,GRAC,GRAC_Fifteen,15
16267,PEGI,Three,3
16267,ESRB,E,6
16272,PEGI,Three,3
16272,ESRB,E,6
16439,ESRB,E,6
16474,CERO,CERO_A,3
16584,CERO,CERO_A,3
16587,ESRB,E,6
16587,CERO,CERO_A,3
16605,ESRB,M,17
16605,PEGI,Eighteen,18
16616,ESRB,E,6
16631,ESRB,T,13
16719,PEGI,Three,3
16719,ESRB,E,6
16927,ESRB,E,6
16927,PEGI,Three,3
16989,ESRB,T,13
16989,PEGI,Twelve,12
16997,ESRB,E,6
16997,CERO,CERO_A,3
16998,ESRB,E,6
17177,PEGI,Three,3
17245,ESRB,E,6
17245,CLASS_IND,CLASS_IND_Ten,10
17268,ESRB,T,13
17272,ESRB,M,17
17272,CERO,CERO_C,15
17275,ESRB,E,6
17450,ESRB,E,6
17453,ESRB,T,13
17460,ESRB,E10,10
17460,PEGI,Seven,7
17463,ESRB,E10,10
17470,PEGI,Twelve,12
17470,ESRB,T,13
17478,PEGI,Twelve,12
17478,ESRB,E10,10
17481,CERO,CERO_B,12
17623,ESRB,E,6
17734,ESRB,E10,10
17734,PEGI,Seven,7
17734,CERO,CERO_A,3
17818,PEGI,Seven,7
17818,ESRB,E10,10
17829,ESRB,E,6
18017,ESRB,T,13
18017,PEGI,Twelve,12
18017,USK,USK_12,12
18017,CERO,CERO_B,12
18026,ESRB,E,6
18026,PEGI,Twelve,12
18034,ESRB,E,6
18045,ESRB,E,6
18046,ESRB,E,6
18050,ESRB,E,6
18050,PEGI,Three,3
18051,ESRB,E,6
18051,PEGI,Eighteen,18
18054,ESRB,T,13
18055,ESRB,T,13
18055,PEGI,Seven,7
18056,ESRB,T,13
18064,ESRB,E,6
18064,PEGI,Three,3
18065,ESRB,E,6
18066,ESRB,E,6
18068,PEGI,Sixteen,16
18068,CERO,CERO_B,12
18068,ESRB,T,13
18069,ESRB,E10,10
18071,ESRB,T,13
18075,ESRB,M,17
18079,ESRB,T,13
18105,ESRB,E,6
18108,ESRB,M,17
18123,ESRB,T,13
18133,ESRB,E,6
18165,PEGI,Twelve,12
18192,PEGI,Three,3
18192,ESRB,E,6
18198,ESRB,E,6
18198,PEGI,Three,3
18221,ESRB,E,6
18221,PEGI,Seven,7
18221,CLASS_IND,CLASS_IND_Ten,10
18221,CERO,CERO_A,3
18227,ESRB,M,17
18227,PEGI,Sixteen,16
18229,ESRB,M,17
18229,PEGI,Sixteen,16
18230,PEGI,Seven,7
18230,ESRB,E10,10
18237,ESRB,E10,10
18237,PEGI,Twelve,12
18237,GRAC,GRAC_Eighteen,18
18241,ESRB,E,6
18248,ESRB,E,6
18248,PEGI,Seven,7
18250,ESRB,E,6
18255,PEGI,Seven,7
18255,ESRB,E,6
18255,USK,USK_0,0
18255,CLASS_IND,CLASS_IND_Ten,10
18255,ACB,ACB_PG,6
18262,ESRB,T,13
18262,PEGI,Twelve,12
18264,ESRB,E,6
18265,ESRB,E,6
18268,ESRB,T,13
18269,ESRB,E,6
18270,ESRB,E,6
18271,ESRB,E,6
