companyID,company
8834,Wolverine Studios
8871,The Slitherine Group
8884,Lemondo Entertainment
8891,Winged Cloud
8904,Sanuk Games
8950,Stainless Games Ltd.
8969,GameArt Studio GmbH
8982,Axyos Games
9000,Shortbreak Studios s.c.
9005,PlayWay S.A.
9015,Dogenzaka Lab
9029,Cheritz
9043,Ravenscourt
9078,Polygon Art
9098,Metaware
9111,kChamp Games
9116,2tainment
9147,Black Shell Media
9153,New Reality Games
9165,Ankama Games
9186,Game Insight
9279,Burak Dabak
9300,Siberian Digital
9301,Xitilon
9392,Tagstar Games
9453,Landfall Games
9519,Quicksilva Ltd.
9539,GCE
9574,Piccadilly Software Inc.
9607,Bandai Namco Entertainment Europe
9794,Hasbro
9839,NeuroCreativa
9851,Gameforge
9866,Nilo Studios
10022,Gamious
10068,Masaya
10070,Namco Hometek
10075,THQ Nordic
10091,"Virgin Interactive Entertainment, Inc."
10092,ANGames
10127,Log Games
10173,Midway Manufacturing
10212,Illusion
10337,Dro Soft
10352,Mixtvision
10415,SomaSim
10425,Micro Power
10459,IndieGala
10489,Pine Studio
10510,Went2Play
10511,Lynnea Glasser
10522,Ground Control Studios
10527,Dharker Studio
10528,Addictive Games Ltd
10535,Acclaim
10536,Nordic Softsales AB
10544,Jesse Barksdale
10549,HypeTrain Digital
10586,Victor Company of Japan Ltd.
10599,CBS Software
10667,FDG Entertainment
10689,HeroCraft
10800,Thorn EMI Video Ltd.
10836,Green Man Gaming Publishing
10867,Rhino Games
10932,Hiker Games
10955,Sometimes You
10959,Cleverweek
10999,"Commodore Business Machines, Inc."
11067,Games Workshop
11151,CRL Group PLC
11156,FareGaming
11177,Taskset Ltd.
11199,Intercido
11203,Quiet River
11247,"Mindscape, Inc."
11255,Mediascape
11262,Gearbox Publishing
11309,Team Nonsense
11359,Namco Bandai Games Europe S.A.S.
11378,Gamesoft
11410,"Mind Games, Inc."
11413,Secret Sorcery
11506,Anirog Software Ltd.
11538,Efimov Max
11586,Oculus Studios
11589,Green Stripe Snake
11590,Pentavision
11636,Anarchy Enterprises
11646,Databyte
11647,The English Software Company
11657,"Tricol Co., Ltd."
11662,Annapurna Interactive
11667,Firebird Software
11683,Zordix AB
11685,Odin Computer Graphics Ltd.
11745,"ShareData, Inc."
11756,Alice & Smith
11765,Joycity Corporation
11767,Red Column
11770,Mikro-Gen Ltd
11781,Mark Data Products
11822,RunServer
11830,NVLMaker
11836,Mythical City Games
11861,Twelve Tiles
11863,Machines in Motion
11877,Troo Gaming
11882,Anteater Games
11892,"Little Flag Software, LLC"
11927,Coconut Island Games
11928,Driven Arts
11930,"USAYA Co., Ltd."
11933,BT Studios
11937,Sara Lisa Vogl
11945,Beldarak Games
11948,Feardemic
11970,Route 59
11975,WhisperGames
11979,otingor
11990,Mastfire Studios
11995,Riccardo Deias
12008,Epic Quest Games
12017,Rayark Inc.
12028,E-Home Entertainment
12084,Excalibur Games
12176,Neutral Games
12184,Ludomotion
12191,Applicattura
12205,White Wolf Entertainment
12207,Long Hat House
12208,Open Sorcery Games
12228,Reactive Drop Team
12230,www.Spellbook.com
12240,Sixteen Tons Entertainment
12242,Atooi
12245,SimpleGhost
12252,Downpour Interactive
12267,Global VR
12268,Synthetic.Systems
12298,"Thekla, Inc"
12316,OlderBytes
12340,Ocean Media
12369,Nauris Amatnieks
12394,AZAMATIKA
12404,Playdius
12419,Assemble Entertainment
12433,Semaphore
12462,"Smiling Buddha Games, LLC"
12463,Screenwave Media
12486,Heavy Kick Games
12491,Feperd Games
12497,Rice Cooker Republic
12503,Secure Vend LLC
12504,ILMXStudios
12508,Marshlight Software
12533,Dogwood Gaming
12540,Piko Interactive
12547,DRUNKEN APES
12569,Frontwing USA
12583,WRGenesis
12641,Foolish Mortals Games
12651,Thor Computer Software
12661,Martech Games Ltd.
12666,Zitrix Megalomedia
12674,Quantized Bit
12691,Alpha-Omega Software
12700,Not Doppler
12766,Micromega
12778,Whalenought Studios
12785,Blade Software
12786,Whitebox Interactive
12811,The Power House
12856,nobodyshot
12869,Software Country
12898,Starbreeze publishing AB
12903,"Cascade Games, Ltd."
12908,Reaktor
12910,WOOLooFun
12911,Not Done Yet Games
12914,weRplay
12951,Ponyca
12954,Megalomaniac Games
12959,Team D-13
13025,Starlight Software
13043,MCM Software
13083,Stardock Entertainment
13091,Renegade Game Studios
13142,Triverske
13144,Blender Games
13147,Surreal Games
13182,ChangYou Games
13286,Three Gates
13301,Eat All The Games
13358,FIVE-BN GAMES
13365,Zemina Co.
13387,Racing Bros
13394,Armor Games Studios
13516,CoseBelle
13541,Fat Dog Games
13543,Byte Back
13634,Sony Computer Entertainment
13643,VGstudio
13648,Unties
13678,Netmarble Games
13709,Shotgun with Glitters
13737,Ukiyo Publishing
13740,The Voxel Agents
13750,SMG Studio
13765,Flaregames
13855,Neoclassic Games
13899,Stage Clear Studios
13902,Laura Shigihara
13930,Chorus Worldwide
14013,lol
14024,Gametroleum
14035,Private Division
14055,Warner Bros. Interactive Entertainment
14108,"Blue Ox Family Games, Inc."
14125,Nippon Columbia
14129,Studio e.go!
14166,Crystal Shard
14202,"Griffin Aerotech, LLC"
14253,ToastieLabs
14259,Meltdown Interactive Media
14313,RewindApp
14339,2645turquoise
14350,Bullid Games
14370,Rainy Frog
14450,PLBM Games
14460,Run-Down Games
