ageID,ratingOrgID,ratingID,ratingOrg,rating,ageAbove
81447,5,25,GRAC,GRAC_Eighteen,18
81450,1,8,ESRB,E,6
81455,1,10,ESRB,T,13
81457,1,11,ESRB,M,17
81459,2,4,PEGI,Sixteen,16
81460,5,25,GRAC,GRAC_Eighteen,18
81466,5,23,GRAC,GRAC_Twelve,12
81467,5,23,GRAC,GRAC_Twelve,12
81474,1,8,ESRB,E,6
81487,1,8,ESRB,E,6
81493,2,2,PEGI,Seven,7
81494,7,34,ACB,ACB_PG,6
81495,7,34,ACB,ACB_PG,6
81527,5,26,GRAC,GRAC_TESTING,NA
81528,1,8,ESRB,E,6
81529,1,10,ESRB,T,13
81552,1,10,ESRB,T,13
81563,1,8,ESRB,E,6
81564,1,10,ESRB,T,13
81565,5,24,GRAC,GRAC_Fifteen,15
81573,5,24,GRAC,GRAC_Fifteen,15
81576,5,25,GRAC,GRAC_Eighteen,18
81577,5,23,GRAC,GRAC_Twelve,12
81578,5,23,GRAC,GRAC_Twelve,12
81580,5,23,GRAC,GRAC_Twelve,12
81586,5,23,GRAC,GRAC_Twelve,12
81588,5,24,GRAC,GRAC_Fifteen,15
81590,5,24,GRAC,GRAC_Fifteen,15
81591,5,24,GRAC,GRAC_Fifteen,15
81592,5,25,GRAC,GRAC_Eighteen,18
81593,5,23,GRAC,GRAC_Twelve,12
81595,5,23,GRAC,GRAC_Twelve,12
81597,5,26,GRAC,GRAC_TESTING,NA
81598,5,23,GRAC,GRAC_Twelve,12
81602,2,5,PEGI,Eighteen,18
81603,2,1,PEGI,Three,3
81607,1,10,ESRB,T,13
81608,2,4,PEGI,Sixteen,16
81613,2,3,PEGI,Twelve,12
81616,2,4,PEGI,Sixteen,16
81620,5,26,GRAC,GRAC_TESTING,NA
81621,5,23,GRAC,GRAC_Twelve,12
81623,5,25,GRAC,GRAC_Eighteen,18
81626,5,24,GRAC,GRAC_Fifteen,15
81628,5,24,GRAC,GRAC_Fifteen,15
81633,5,26,GRAC,GRAC_TESTING,NA
81637,5,23,GRAC,GRAC_Twelve,12
81638,5,23,GRAC,GRAC_Twelve,12
81640,5,23,GRAC,GRAC_Twelve,12
81646,1,8,ESRB,E,6
81669,1,8,ESRB,E,6
81678,1,8,ESRB,E,6
81694,1,10,ESRB,T,13
81699,2,5,PEGI,Eighteen,18
81700,4,21,USK,USK_18,18
81701,5,26,GRAC,GRAC_TESTING,NA
81702,6,31,CLASS_IND,CLASS_IND_Sixteen,16
81703,7,37,ACB,ACB_R18,18
81706,2,2,PEGI,Seven,7
81707,7,35,ACB,ACB_M,12
81709,7,35,ACB,ACB_M,12
81710,1,8,ESRB,E,6
81713,5,23,GRAC,GRAC_Twelve,12
81726,5,23,GRAC,GRAC_Twelve,12
81727,5,24,GRAC,GRAC_Fifteen,15
81730,5,24,GRAC,GRAC_Fifteen,15
81733,5,26,GRAC,GRAC_TESTING,NA
81734,5,24,GRAC,GRAC_Fifteen,15
81737,5,23,GRAC,GRAC_Twelve,12
81738,5,25,GRAC,GRAC_Eighteen,18
81741,5,26,GRAC,GRAC_TESTING,NA
81743,5,24,GRAC,GRAC_Fifteen,15
81745,5,23,GRAC,GRAC_Twelve,12
81746,5,23,GRAC,GRAC_Twelve,12
81747,5,23,GRAC,GRAC_Twelve,12
81751,5,23,GRAC,GRAC_Twelve,12
81756,5,23,GRAC,GRAC_Twelve,12
81757,5,25,GRAC,GRAC_Eighteen,18
81758,5,26,GRAC,GRAC_TESTING,NA
81760,5,23,GRAC,GRAC_Twelve,12
81762,5,24,GRAC,GRAC_Fifteen,15
81763,5,26,GRAC,GRAC_TESTING,NA
81764,5,26,GRAC,GRAC_TESTING,NA
81765,5,23,GRAC,GRAC_Twelve,12
81769,5,25,GRAC,GRAC_Eighteen,18
81770,5,23,GRAC,GRAC_Twelve,12
81771,5,23,GRAC,GRAC_Twelve,12
81774,5,26,GRAC,GRAC_TESTING,NA
81780,5,24,GRAC,GRAC_Fifteen,15
